N,gpus,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
30720,5,0.000992867,0.00405384,40.7249,0.030855,1.62309,0.0181427,0.014766
30720,5,0.00106186,0.00416686,40.5387,0.0336781,1.60904,0.019921,0.0164126
30720,5,0.00078715,0.00395053,40.5603,0.0365411,1.62826,0.024083,0.0207729
30720,5,0.000887252,0.00415422,40.5543,0.0369041,1.61908,0.0238406,0.0203543
30720,5,0.000829921,0.00325373,40.6805,0.0304334,1.75065,0.0168765,0.0142199
30720,6,0.00113595,0.00328815,41.487,0.0366661,2.51644,0.0211118,0.018494
30720,6,0.00116858,0.00424499,41.0546,0.0350904,2.26997,0.0223317,0.0188509
30720,6,0.000900704,0.00416167,41.127,0.0389054,2.33611,0.0255969,0.0221775
30720,6,0.000925494,0.00430562,41.1055,0.0371306,2.31161,0.0241258,0.0206005
30720,6,0.00144968,0.00446079,41.0731,0.034036,2.2875,0.0210709,0.0173912
30720,7,0.00123771,0.00399578,42.1695,0.0399044,3.12765,0.0253221,0.0221787
30720,7,0.00130994,0.00331819,42.3136,0.0360683,3.4436,0.0201925,0.0176674
30720,7,0.00100275,0.00332084,42.2754,0.0335847,3.40577,0.0188061,0.0162845
30720,7,0.00110453,0.00329718,42.3159,0.0366629,3.4357,0.0206918,0.0180751
30720,7,0.00101248,0.00427849,42.0639,0.0362634,3.18498,0.0215098,0.0181008
30720,8,0.00141595,0.00427171,43.1364,0.0381401,4.07723,0.0234895,0.0201557
30720,8,0.00112633,0.00352766,43.5033,0.0345642,4.4742,0.0189635,0.0163246
30720,8,0.00121425,0.00352497,43.5387,0.0372668,4.5002,0.021829,0.0192287
30720,8,0.0011263,0.00386141,43.5405,0.0406211,4.4799,0.0255721,0.0225802
30720,8,0.00121532,0.0034441,43.5787,0.0341886,4.46088,0.0184718,0.0159056
30720,9,0.00150335,0.00345915,44.5117,0.0417949,5.64323,0.02482,0.0223304
30720,9,0.00196537,0.0036416,44.5025,0.0397892,5.63983,0.0227314,0.0200262
30720,9,0.00159907,0.0041255,44.4823,0.0420895,5.60502,0.025871,0.0226594
30720,9,0.00166774,0.00359574,44.4742,0.0410505,5.60372,0.0253628,0.0227517
30720,9,0.00175821,0.00447024,44.1718,0.0364713,5.27024,0.0219245,0.0184523
40960,10,0.00250609,0.00504317,58.6973,0.0515927,6.6957,0.0355116,0.0316411
40960,10,0.00280926,0.00386324,59.1738,0.0424878,7.18802,0.0260681,0.0233324
40960,10,0.00244746,0.00386041,59.188,0.0408435,7.18743,0.0232788,0.02052
40960,10,0.00261861,0.00394642,59.1664,0.0427479,7.1567,0.0260208,0.0231787
