O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,9,2048,3,0.0540258,0.655746,0.0295905,0.0359343,0.49596,0.0294396
true,9,4096,1,0.272947,0.896969,0.0779842,0.0413371,0.523274,0.0351912
true,9,4096,2,0.206109,0.914271,0.0639852,0.0441485,0.534799,0.0375942
true,9,4096,3,0.296883,0.856841,0.0739031,0.0413572,0.478244,0.0349654
true,9,8192,1,0.847809,1.64963,0.153845,0.0678498,0.564561,0.0607405
true,9,8192,2,1.09323,1.48905,0.212737,0.0635753,0.531083,0.0571943
true,9,8192,3,1.05493,1.45864,0.195527,0.063289,0.532748,0.056226
true,9,12288,1,1.56907,2.42233,0.260498,0.0820461,0.570884,0.0746524
true,9,12288,2,1.81176,2.32383,0.236509,0.084238,0.495917,0.0772009
true,9,12288,3,1.52497,2.39651,0.260798,0.0826571,0.564523,0.0757613
true,9,16384,1,4.46565,3.92393,0.571964,0.103658,0.617555,0.0960133
true,9,16384,2,2.9526,3.88991,0.407703,0.102617,0.615161,0.0949365
true,9,16384,3,3.14874,3.76427,0.410235,0.106325,0.613541,0.0979431
true,9,20480,1,4.08781,5.61792,0.562981,0.128586,0.640583,0.119913
true,9,20480,2,6.58037,5.7713,0.776329,0.126741,0.672206,0.11787
true,9,20480,3,5.25391,5.6409,0.580392,0.132676,0.657579,0.124093
true,9,24576,1,7.58157,7.75776,0.78773,0.154013,0.731367,0.145369
true,9,24576,2,7.79949,7.76598,0.784679,0.14994,0.726894,0.140775
true,9,24576,3,7.92848,7.7453,0.628019,0.154109,0.72116,0.145159
true,9,28672,1,10.2372,10.2109,1.02016,0.169789,0.76863,0.160084
true,9,28672,2,11.1237,10.1775,0.82954,0.177896,0.761937,0.169159
true,9,28672,3,11.3748,10.1875,0.837661,0.172517,0.758383,0.163201
true,9,32768,1,13.3268,13.1773,1.27933,0.193787,0.819809,0.182929
true,9,32768,2,11.6352,13.03,1.28054,0.18996,0.810239,0.179775
true,9,32768,3,13.7783,13.0114,1.28298,0.190103,0.80307,0.180638
true,9,36864,1,16.7038,16.4382,1.5592,0.21634,0.866652,0.206508
true,9,36864,2,16.4762,16.4512,1.54233,0.21296,0.881685,0.203159
true,9,36864,3,12.2737,16.3966,1.34256,0.218466,0.835435,0.208579
true,10,1024,1,0.0167592,0.589278,0.0135824,0.0265731,0.498756,0.0204917
true,10,1024,2,0.0160741,0.581495,0.011976,0.0255911,0.492718,0.0197821
true,10,1024,3,0.012376,0.597922,0.013667,0.0298401,0.502793,0.0237462
true,10,2048,1,0.0535996,0.655992,0.029434,0.0336961,0.515224,0.0276228
true,10,2048,2,0.0690617,0.653533,0.0257322,0.0303111,0.513534,0.0239458
true,10,2048,3,0.0584715,0.682377,0.0316246,0.0300968,0.53616,0.0235254
true,10,4096,1,0.312069,0.91058,0.0761637,0.0384023,0.567756,0.0317512
true,10,4096,2,0.273254,0.933223,0.0770737,0.0429651,0.582182,0.0366271
true,10,4096,3,0.267946,0.910937,0.0678456,0.0386014,0.562937,0.0317761
true,10,8192,1,0.998952,1.78602,0.163838,0.074818,0.665112,0.0676134
